year,month,pai1,pai3,tb1,tb3,cpi
1990,1,12.3078,8.1635,6.4839,7.7241,127.4
1990,2,5.6382,4.6820,7.2714,7.9163,128.0
1990,3,6.5446,3.7325,7.3816,7.9485,128.7
1990,4,1.8633,3.7123,8.0533,7.9861,128.9
1990,5,2.7896,4.6279,7.5178,8.0413,129.2
1990,6,6.4840,7.3622,6.7432,7.9247,129.9
1990,7,4.6100,8.5304,7.4710,7.9133,130.4
1990,8,10.9925,9.3979,7.4686,7.6620,131.6
1990,9,9.9887,6.6317,7.4382,7.5480,132.7
1990,10,7.2126,3.3021,7.0269,7.2934,133.5
1990,11,2.6937,3.2824,6.6270,7.2641,133.8
1990,12,0.0000,2.9784,6.8065,7.1676,133.8
